Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3251|2000099|160|MS|1|1||2022-01-07 16:17:01|
3129|1007258|170|SO|AA|1||2022-01-12 17:24:01|
3129|1007253|170|V1|31082006|1|IM|2022-01-17 09:30:01|
3129|1007245|170|IM|6192010|1||2022-01-12 08:54:01|
3251|2000100|160|MS|1|1||2022-01-07 16:32:11|
3129|1007240|170|ST|4|1||2022-01-06 18:14:00|
3129|1007236|170|MS|1|1||2022-01-18 17:18:02|
3129|1007245|170|PC||1||2022-01-12 08:54:01|
3251|2000164|160|CI|A|1||2022-01-13 16:08:00|
3129|1007247|170|ST|4|1||2022-01-13 12:08:00|
3129|1007239|170|MS|1|1||2022-01-07 10:45:00|
3129|1007238|170|SO|AA|1||2022-01-14 16:21:01|
3251|2000023|160|IM|6192010|1||2022-01-04 16:25:03|
3129|1007236|170|IM|6192010|1||2022-01-18 17:18:02|
3251|2000165|160|MS|1|1||2022-01-13 16:08:01|
3251|2000026|160|ED|0438210NS7M66|1||2022-01-04 13:53:03|
3129|1007247|170|SO|AA|1||2022-01-13 12:08:00|
3129|1007246|170|MS|1|1||2022-01-17 09:26:00|
3251|2000027|160|ED|0438210NSN0G2|1||2022-01-04 14:00:01|
3129|1007241|170|MS|1|1||2022-01-05 16:58:00|
3251|2000026|160|MS|1|1||2022-01-04 13:53:03|
3251|2000161|160|ED|0192220O0N016|1||2022-01-13 16:09:00|
3251|2000165|160|ED|0438220NY1GZ6|1||2022-01-13 16:08:01|
3129|1007240|170|PC||1||2022-01-06 18:14:00|
3129|1007246|170|IM|6192010|1||2022-01-17 09:26:00|
3129|1007246|170|ST|4|1||2022-01-17 09:26:00|
3251|2000024|160|MS|1|1||2022-01-04 16:26:01|
3251|2000026|160|CR|241|1||2022-01-04 13:53:03|
3251|2000027|160|CI|A|1||2022-01-04 14:00:01|
3251|2000027|160|ED|0192210NVRTN8|1||2022-01-04 14:00:01|
3251|2000025|160|CR|241|1||2022-01-04 16:26:01|
3129|1007239|170|IM|6192010|1||2022-01-07 10:45:00|
3129|1007239|170|PC||1||2022-01-07 10:45:00|
3251|2000163|160|MS|1|1||2022-01-13 16:07:01|
3251|2000020|160|CR|241|1||2022-01-04 13:53:02|
3172|2000016|640|IM|6192010|1||2022-01-05 15:51:05|
3129|1007251|170|PC||1||2022-01-11 12:45:00|
3129|1007243|170|PC||1||2022-01-06 15:25:00|
3172|2000002|640|CI|A|1||2022-01-05 15:51:05|
3129|1007252|170|MS|1|1||2022-01-12 08:54:01|
3129|1007247|170|MS|1|1||2022-01-13 12:08:00|
3129|2001413|170|MS|1|1||2022-01-18 15:30:00|
3251|2000024|160|CR|241|1||2022-01-04 16:26:01|
3129|1007238|170|MS|1|1||2022-01-14 16:21:01|
3251|2000025|160|ED|0192210NVKM37|1||2022-01-04 16:26:01|
3129|1007236|170|ST|4|1||2022-01-18 17:18:02|
3129|1007252|170|PC||1||2022-01-12 08:54:01|
3129|1007244|170|ST|4|1||2022-01-17 18:23:00|
3251|2000164|160|ED|0438220NY19E4|1||2022-01-13 16:08:00|
3129|1007252|170|IM|6192010|1||2022-01-12 08:54:01|
3129|1007252|170|V1|2512011|1|IM|2022-01-12 08:54:01|
3251|2000024|160|ED|0192210NVIS26|1||2022-01-04 16:26:01|
3129|1007253|170|MS|1|1||2022-01-17 09:30:01|
3251|2000099|160|ED|0438220NUWYD4|1||2022-01-07 16:17:01|
3172|2000002|640|MS|1|1||2022-01-05 15:51:05|
3251|2000020|160|MS|1|1||2022-01-04 13:53:02|
3129|1007236|170|V1|1452006|1|IM|2022-01-18 17:18:02|
3251|2000161|160|CR|241|1||2022-01-13 16:09:00|
3251|2000163|160|ED|0192220O0YJ11|1||2022-01-13 16:07:01|
3129|1007244|170|PC||1||2022-01-17 18:23:00|
3251|2000024|160|CI|A|1||2022-01-04 16:26:01|
3251|2000026|160|CI|A|1||2022-01-04 13:53:03|
3251|2000023|160|ED|0192210NVIQU6|1||2022-01-04 16:25:03|
3251|2000022|160|CI|A|1||2022-01-04 16:25:02|
3251|2000021|160|ED|0192210NVIYB5|1||2022-01-04 16:25:01|
3129|1007242|170|IM|6192010|1||2022-01-05 15:18:01|
3251|2000161|160|ED|0192220O0N097|1||2022-01-13 16:09:00|
3251|2000164|160|ED|0192220O0TYY2|1||2022-01-13 16:08:00|
3129|1007253|170|IM|6192010|1||2022-01-17 09:30:01|
3251|2000021|160|IM|6192010|1||2022-01-04 16:25:01|
3251|2000161|160|IM|6192010|1||2022-01-13 16:09:00|
3129|1007247|170|V1|31762006|1|IM|2022-01-13 12:08:00|
3251|2000163|160|ED|0438220NY17P5|1||2022-01-13 16:07:01|
3251|2000024|160|ED|0438210NS5224|1||2022-01-04 16:26:01|
3129|1007246|170|SO|AA|1||2022-01-17 09:26:00|
3251|2000165|160|ED|0192220O0U0J3|1||2022-01-13 16:08:01|
3251|2000099|160|ED|0192220NX9WQ7|1||2022-01-07 16:17:01|
3129|2000106|240|IM|6192010|1||2022-01-19 13:20:32|
3251|2000161|160|CI|A|1||2022-01-13 16:09:00|
3129|1007242|170|PC||1||2022-01-05 15:18:01|
3251|2000165|160|CR|241|1||2022-01-13 16:08:01|
3251|2000019|160|IM|6192010|1||2022-01-04 13:53:01|
3251|2000019|160|ED|0438210NRVAH2|1||2022-01-04 13:53:01|
3251|2000020|160|ED|0192210NVRR17|1||2022-01-04 13:53:02|
3251|2000022|160|ED|0438210NRXTT2|1||2022-01-04 16:25:02|
3251|2000165|160|CI|A|1||2022-01-13 16:08:01|
3172|2000002|640|CR|210|1||2022-01-05 15:51:05|
3129|1007238|170|PC||1||2022-01-14 16:21:01|
3251|2000163|160|CR|241|1||2022-01-13 16:07:01|
3129|1007244|170|SO|AA|1||2022-01-17 18:23:00|
3251|2000023|160|CI|A|1||2022-01-04 16:25:03|
3129|1007246|170|V1|31082006|1|IM|2022-01-17 09:26:00|
3129|2000106|240|ED|0438220O0S4C6|1||2022-01-19 13:20:32|
3251|2000023|160|CR|241|1||2022-01-04 16:25:03|
3251|2000019|160|CR|241|1||2022-01-04 13:53:01|
3251|2000021|160|ED|0438210NRXL52|1||2022-01-04 16:25:01|
3251|2000162|160|ED|0192220O11SQ8|1||2022-01-13 17:02:02|
3251|2000019|160|MS|1|1||2022-01-04 13:53:01|
3251|2000025|160|IM|6192010|1||2022-01-04 16:26:01|
3172|2000016|640|ED|0438220NV4ZH4|1||2022-01-05 15:51:05|
3251|2000164|160|CR|241|1||2022-01-13 16:08:00|
3251|2000025|160|MS|1|1||2022-01-04 16:26:01|
3129|1007246|170|PC||1||2022-01-17 09:26:00|
3129|1007242|170|MS|1|1||2022-01-05 15:18:01|
3251|2000025|160|ED|0438210NS7PA8|1||2022-01-04 16:26:01|
3129|1007238|170|IM|6192010|1||2022-01-14 16:21:01|
3251|2000162|160|MS|1|1||2022-01-13 17:02:02|
3251|2000164|160|MS|1|1||2022-01-13 16:08:00|
3129|1007242|170|SO|AA|1||2022-01-05 15:18:01|
3172|2000087|640|MS|1|1||2022-01-21 16:02:01|
3251|2000023|160|MS|1|1||2022-01-04 16:25:03|
3129|1007239|170|ST|4|1||2022-01-07 10:45:00|
3251|2000026|160|IM|6192010|1||2022-01-04 13:53:03|
3129|1007240|170|SO|AA|1||2022-01-06 18:14:00|
3129|2001413|170|IM|6192010|1||2022-01-18 15:30:00|
3251|2000023|160|ED|0192210NVIR84|1||2022-01-04 16:25:03|
3172|2000087|640|CR|210|1||2022-01-21 16:02:01|
3129|1007252|170|SO|AA|1||2022-01-12 08:54:01|
3251|2000021|160|CR|241|1||2022-01-04 16:25:01|
3251|2000161|160|ED|0438220NY1N48|1||2022-01-13 16:09:00|
3251|2000164|160|IM|6192010|1||2022-01-13 16:08:00|
3129|1007240|170|MS|1|1||2022-01-06 18:14:00|
3129|1007243|170|V1|112009|1|IM|2022-01-06 15:25:00|
3129|2001413|170|SO|AA|1||2022-01-18 15:30:00|
