Patente|Pedimento|SeccionAduanera|ClaveContribucion|TasaContribucion|TipoTasa|TipoPedimento|FechaPagoReal
3251|2000161|160|15|240.00000|2|1|2022-01-13 16:09:00|
3251|2000165|160|1|378.00000|4|1|2022-01-13 16:08:01|
3129|1007247|170|15|240.00000|2|1|2022-01-13 12:08:00|
3251|2000021|160|15|240.00000|2|1|2022-01-04 16:25:01|
3129|1007258|170|1|378.00000|4|1|2022-01-12 17:24:01|
3251|2000023|160|15|240.00000|2|1|2022-01-04 16:25:03|
3251|2000100|160|23|16.00000|1|1|2022-01-07 16:32:11|
3129|2000106|240|15|240.00000|2|1|2022-01-19 13:20:32|
3172|2000016|640|15|240.00000|2|1|2022-01-05 15:51:05|
3129|2001413|170|23|16.00000|1|1|2022-01-18 15:30:00|
3251|2000025|160|23|16.00000|1|1|2022-01-04 16:26:01|
3129|1007258|170|23|16.00000|1|1|2022-01-12 17:24:01|
3129|1007245|170|15|240.00000|2|1|2022-01-12 08:54:01|
3129|2001413|170|15|240.00000|2|1|2022-01-18 15:30:00|
3251|2000019|160|1|378.00000|4|1|2022-01-04 13:53:01|
3129|1007246|170|15|240.00000|2|1|2022-01-17 09:26:00|
3251|2000019|160|23|16.00000|1|1|2022-01-04 13:53:01|
