Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3251|2000163|160|73181606|2|2|(PC09003-AB), 9 (PC50028-AB). FACT IVT210478 ORD 5 (5509430-05), 8 (PC05008-AA), 9 (PC50057-AB).|2022-01-13 16:07:01|
3251|2000019|160|73181606|2|1|FACT IVT210454 ORD 5 (PP0395-R010). FACT IVT210455 ORD 4 (00182015), 6 (00182021).|2022-01-04 13:53:01|
3251|2000025|160|73269099|6|1|FACT IVT210462 ORD 9 (2732021X-01).|2022-01-04 16:26:01|
3251|2000024|160|73181606|2|1|FACT IVT210460 ORD 1 (CM0420), 2 (CM0618), 3 (CM0620), 4 (CM0708), 5 (CM0768), 7 (CM0811A), 8 (CM0828), 10|2022-01-04 16:26:01|
3251|2000163|160|73269099|6|1|FACT IVT210478 ORD 4 (2732021X-01).|2022-01-13 16:07:01|
3251|2000023|160|73181606|2|2|(P2332350), 12 (87334.20.001.01), 13 (82634.20.000.07), 14 (P2232253), 15 (88380.20.001.01), 16 (P2039550), 17|2022-01-04 16:25:03|
3251|2000161|160|73181599|2|1|FACT IVT210481 ORD 9 (110008AA).|2022-01-13 16:09:00|
3251|2000021|160|73181599|2|1|FACT IVT210451 ORD 14 (CM0796).|2022-01-04 16:25:01|
3251|2000164|160|73181599|1|1|FACT IVT210479 ORD 1 (1674406X-02-P), 7 (P2025550), 8 (P2032050).|2022-01-13 16:08:00|
3251|2000100|160|73181606|3|2|ORD 1 (00222001), 2 (00232007), 4 (00232013), 9 (PP0395-R010).|2022-01-07 16:32:11|
3251|2000163|160|73181599|1|1|FACT IVT210477 ORD 2 (2701158X-02). FACT IVT210478 ORD 6 (9453486-10), 7 (PC05004-AA).|2022-01-13 16:07:01|
3251|2000099|160|73269099|5|1|FACT IVT210468 ORD 15 (P2090950).|2022-01-07 16:17:01|
3251|2000025|160|73181606|2|1|FACT IVT210461 ORD 1 (3529554-01), 2 (3529556-01), 3 (4437406-08), 4 (82625.20.000.06), 5 (87901.20.001.01), 6|2022-01-04 16:26:01|
3251|2000162|160|73181606|2|1|FACT IVT210482 ORD 3 (00232012), 4 (00232013), 5 (00232017), 9 (25640395-S), 10 (272033), 11 (66354AB), 12 (66360AB).|2022-01-13 17:02:02|
3251|2000165|160|73181606|3|1|FACT IVT210476 ORD 2 (CM0537), 3 (CM0610), 4 (CM0656), 7 (CM0768), 12 (CM0799), 14 (N905 769 03), 15 (NZ6A-600D84-BA),|2022-01-13 16:08:01|
3251|2000021|160|73181606|3|2|, 11 (CM0768).|2022-01-04 16:25:01|
3251|2000020|160|73269099|3|1|FACT IVT210456 ORD 1 (110005CA), 2 (68023AB), 3 (020527AC), 4 (110092D), 7 (00182007).|2022-01-04 13:53:02|
3172|2000016|640|73181606|2|1|NO. DE PARTE: 3529556-01 FACTURA No.: IVT220001|2022-01-05 15:51:05|
3251|2000025|160|73181599|1|1|FACT IVT210461 ORD 7 (P2032050). FACT IVT210462 ORD 2 (1331049X-03), 5 (2282508X-04).|2022-01-04 16:26:01|
3251|2000165|160|73181599|2|1|FACT IVT210476 ORD 13 (CM0830).|2022-01-13 16:08:01|
3251|2000024|160|73269099|3|1|FACT IVT210460 ORD 6 (CM0776).|2022-01-04 16:26:01|
3251|2000023|160|73181599|1|1|FACT IVT210452 ORD 1 (2757422X-01), 3 (2701158X-02), 4 (P2099350). FACT IVT210453 ORD 6 (P2025550), 8 (2859676X-01), 9|2022-01-04 16:25:03|
3251|2000027|160|73269099|5|1|FACT IVT210465 ORD 4 (020530AC), 7 (100965310001), 8 (110019AA), 9 (110022AA), 10 (110040AB), 11 (110088B), 15|2022-01-04 14:00:01|
3251|2000025|160|73182202|3|1|FACT IVT210462 ORD 4 (1667513X-02), 6 (2358623X-01).|2022-01-04 16:26:01|
3251|2000162|160|73181599|1|1|FACT IVT210482 ORD 2 (00182017).|2022-01-13 17:02:02|
3172|2000002|640|73269099|1|1|NO. DE PARTE: 2732021X-01 FACTURA No.: IVS210598|2022-01-05 15:51:05|
3251|2000165|160|73181599|1|1|FACT IVT210476 ORD 6 (CM0679), 11 (CM0790).|2022-01-13 16:08:01|
3251|2000022|160|73181606|2|1|FACT IVT210450 ORD 1 (CM0537), 2 (CM0542), 4 (CM0656), 8 (CM0736A).|2022-01-04 16:25:02|
3251|2000026|160|73269099|5|1|FACT IVT210463 ORD 1 (00182008), 2 (00182010), 4 (110005CA), 6 (110151A). FACT IVT210464 ORD 1 (00182010), 2 (080062CB)|2022-01-04 13:53:03|
3251|2000161|160|73269099|5|3|(110022AA), 5 (110040AB), 6 (110092D).|2022-01-13 16:09:00|
3251|2000100|160|73181599|2|1|FACT IVT210466 ORD 3 (00232011).|2022-01-07 16:32:11|
3251|2000163|160|73181606|2|1|FACT IVT210477 ORD 3 (3529554-01), 4 (3529556-01), 5 (82625.20.000.06), 6 (88380.20.001.01), 7 (P2039550), 8|2022-01-13 16:07:01|
3251|2000026|160|73181606|3|1|FACT IVT210463 ORD 3 (00182011). FACT IVT210464 ORD 3 (100959490001).|2022-01-04 13:53:03|
3251|2000020|160|73181606|2|1|FACT IVT210456 ORD 5 (66360AB).|2022-01-04 13:53:02|
3251|2000021|160|73269099|4|1|FACT IVT210451 ORD 2 (CM0776), 3 (CM0778A), 6 (CM0725).|2022-01-04 16:25:01|
3251|2000100|160|73182302|4|1|FACT IVT210466 ORD 8 (40011620B).|2022-01-07 16:32:11|
3251|2000027|160|73182999|4|1|FACT IVT210465 ORD 5 (100959480001), 18 (X9825).|2022-01-04 14:00:01|
3251|2000024|160|73181606|2|2|(GP2_KQ5SN0B0BP).|2022-01-04 16:26:01|
3251|2000025|160|87089412|7|1|FACT IVT210462 ORD 10 (P2101150).|2022-01-04 16:26:01|
3251|2000025|160|73182302|4|1|FACT IVT210462 ORD 3 (1343961X-03).|2022-01-04 16:26:01|
3251|2000163|160|73182202|3|1|FACT IVT210477 ORD 1 (1427906X-04).|2022-01-13 16:07:01|
3251|2000164|160|87089412|5|1|FACT IVT210479 ORD 10 (P2101150).|2022-01-13 16:08:00|
3129|2000106|240|73181606|1|1|NO.DE PARTE: CM0624 FACTURA: IVP220001 ORDEN: 1|2022-01-19 13:20:32|
3251|2000164|160|73182999|4|1|FACT IVT210479 ORD 2 (2460800X-01), 3 (2541649X-03).|2022-01-13 16:08:00|
3251|2000023|160|73182999|3|1|FACT IVT210453 ORD 1 (2828619X-01), 2 (1157614X-08).|2022-01-04 16:25:03|
3251|2000163|160|73182302|4|1|FACT IVT210478 ORD 2 (1449575X-01), 3 (1671068X-03).|2022-01-13 16:07:01|
3172|2000087|640|73181606|1|1|NO. DE PARTE: 3529554-01 FACTURA No.: IVT220003|2022-01-21 16:02:01|
3251|2000164|160|73181599|2|1|FACT IVT210479 ORD 9 (P2066250).|2022-01-13 16:08:00|
3251|2000161|160|73269099|5|1|FACT IVT210481 ORD 1 (00182007), 6 (020527AC), 7 (020531AC), 8 (080062CB), 10 (110018BA), 11 (110019AA), 12 (110091C),|2022-01-13 16:09:00|
3251|2000162|160|73182302|3|1|FACT IVT210482 ORD 13 (FN0237A).|2022-01-13 17:02:02|
3251|2000164|160|73181606|3|1|FACT IVT210479 ORD 4 (4502400-01), 5 (5158950-04), 6 (P2002250), 11 (P2232253), 12 (P2332350), 13 (PC09003-AB), 14|2022-01-13 16:08:00|
