Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3129|2000106|240|73181606|1|03|TUERCA DE ACERO|1.68493|81488|80371|3959.10|47700.000|6|144.10870|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-19 13:20:32|
3251|2000100|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ, TORNILLO DE USO AUTOMOTRIZ|1.16889|146345|146345|7147.78|125200.000|6|1481.44000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3129|1007238|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.46787|0|234449|11511.77|501100.000|6|2378.40000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-14 16:21:01|
3129|1007243|170|73269099|4|99|ESPACIADOR DE ACERO|2.68212|0|429139|20960.00|160000.000|6|6387.20000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-06 15:25:00|
3251|2000025|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.89064|231744|231744|11295.92|260200.000|6|2871.32000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3251|2000025|160|73182999|5|99|PERNO DE ACERO, TOPES REDONDOS DE ACERO|1.23593|343835|343835|16759.60|278200.000|6|5085.72000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3129|1007241|170|73182302|2|99|REMACHE DE ACERO|0.87751|0|236049|11464.80|269000.000|6|1424.82000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 16:58:00|
3129|1007239|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.92143|0|130382|6392.02|141500.000|6|1576.60000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-07 10:45:00|
3129|1007247|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.63863|0|31293|1535.60|49000.000|6|205.74000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-13 12:08:00|
3251|2000162|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.44626|150612|150612|7374.38|337500.000|6|1576.80000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 17:02:02|
3129|1007252|170|73181606|1|03|TUERCA DE ACERO|2.26943|0|175654|8591.40|77400.000|6|2408.10000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-12 08:54:01|
3251|2000024|160|73181606|2|03|TUERCA DE ACERO|1.73937|937347|937347|45689.25|538900.000|6|14514.21000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3251|2000161|160|73181599|2|99|PERNO CON ROSCA|9.19066|119111|119111|5832.00|12960.000|6|1162.08000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:09:00|
3129|1007244|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.61097|0|1434811|70469.61|890650.000|6|9147.42000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007247|170|73181606|3|03|TUERCA DE ACERO|3.17922|0|371015|18206.18|116700.000|6|4375.39000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-13 12:08:00|
3129|1007247|170|73269099|5|99|ESPACIADOR DE ACERO|2.55830|0|673089|33029.39|263100.000|6|8366.31000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-13 12:08:00|
3251|2000164|160|73181599|2|05|TORNILLO DE ACERO|1.12330|35384|35384|1732.50|31500.000|6|561.15000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:00|
3251|2000165|160|73269099|5|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|11.29685|667644|667644|32689.68|59100.000|6|8275.05000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:01|
3251|2000164|160|73181606|3|03|TUERCA DE ACERO|1.72100|668574|668574|32735.20|388480.000|6|10458.30000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:00|
3172|2000087|640|73181606|2|03|TUERCAS DE ACERO|74.31667|151606|151606|7446.00|2040.000|6|224.00000|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-21 16:02:01|
3251|2000164|160|87089412|5|99|TOPE DE ACERO|2.26703|265243|265243|12987.00|117000.000|6|117000.00000|6|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:00|
3251|2000165|160|73181606|3|03|TUERCA DE ACERO|1.21128|546168|546168|26741.88|450900.000|6|8830.35000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:01|
3251|2000100|160|73269099|5|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|18.55443|653116|653116|31899.45|35200.000|6|11407.80000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3251|2000164|160|73181599|1|03|TORNILLO DE ACERO, TORNILLO DE ACERO DE USO AUTOMOTRIZ|2.78992|479867|479867|23495.60|172000.000|6|4323.00000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:00|
3251|2000100|160|73182302|4|99|REMACHE DE ACERO|0.61422|49752|49752|2430.00|81000.000|6|460.80000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3251|2000163|160|73182202|3|99|RONDANA DE ACERO|0.54531|58894|58894|2883.60|108000.000|6|380.16000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:07:01|
