Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3172|2000002|640|73269099|1|99|MANUFACTURAS DE ACERO|4.32242|14264|14264|693.00|3300.000|6|86.40000|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-05 15:51:05|
3129|1007244|170|73182999|12|99|TOPES REDONDOS DE ACERO|1.48634|0|104638|5139.20|70400.000|6|1327.36000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007244|170|73182202|6|99|RONDANA DE ACERO|0.54362|0|18483|907.80|34000.000|6|119.68000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3251|2000024|160|73269099|3|99|ESPACIADOR DE ACERO|9.96650|179397|179397|8744.40|18000.000|6|3015.00000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3251|2000025|160|87089412|7|99|TOPE DE ACERO|2.27724|266437|266437|12987.00|117000.000|6|117000.00000|6|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3129|1007238|170|73181599|2|05|TORNILLO DE ACERO|1.75671|0|79052|3881.55|45000.000|6|960.75000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-14 16:21:01|
3129|1007244|170|94019099|14|01|PARTES PARA ASIENTE DE USO AUTOMOTRIZ|286.06749|0|415370|20400.60|1452.000|6|1010.35000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3251|2000162|160|73269099|4|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|15.89446|590082|590082|28892.03|37125.000|6|10111.95000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 17:02:02|
3251|2000165|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.46335|60699|60699|2972.00|131000.000|6|565.19000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:08:01|
3251|2000025|160|73182302|4|99|REMACHE  DE ACERO|0.70574|73185|73185|3567.28|103700.000|6|696.62000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3251|2000025|160|73181606|2|03|TUERCA DE ACERO|1.41860|1500316|1500316|73130.14|1057600.000|6|24319.61000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
